Nama,Market Cap,Rasio P/E,Pendapatan,Vol.Rata-Rata (3bln),EPS,Beta,Dividen,Imbal Hasil,Rekomendasi
Perdana Gapura Prima,419.11B,5.02,407.86B,13319178,19.51,0.146,1,1.04%,
Perdana Karya Perkasa,410.40B,-22.25,44.50B,725933,-15.37,-0.396,-,-%,
Perintis Triniti,596.29B,188.46,343.22B,1454000,0.748,-0.275,-,-%,
Perma Plasindo Tbk PT,265.35B,43.29,342.92B,1098513,2.84,0.361,0.7919,0.65%,
Personel Alih Daya Tbk PT,157.5B,34.01,771.27B,34203735,1.47,-,0.5,1%,
Perusahaan Gas Negara,34.18T,8.99,3.61B,55824535,0.01,1.04,"1,410,536",10.08%,
Perusahaan Perkebunan,6.75T,10.32,4.42T,6695108,95.92,0.531,53,5.38%,
Petrosea,3.04T,4.77,543.83M,1237754,0.041,0.995,"11,459,036",37.08%,
Phapros,537.60B,21.78,1.16T,127651,29.38,0.269,13.37,2.09%,
Pikko Land Development,679.61B,-17.73,164.66B,269289,-2.82,0.408,-,-%,
Pinago Utama,1.09T,6.56,1.92T,60632,209.26,0.368,110,7.91%,
Pioneerindo Gourmet,395.25B,36.92,582.94B,27480,48.23,0.027,-,-%,
Planet Properindo,25.89B,-11.88,12.33B,1462614,-2.53,-0.271,-,-%,
Platinum Wahab Nusantara Tbk PT,442.86B,31.96,131.36B,102641521,8.36,-,-,-%,
Plaza Indonesia Realty,11.56T,17.61,1.21T,24649,185.74,0.143,77,2.58%,
Polaris Investama,59.21B,-,-,15059,-0.32,0.00,-,-%,
Pollux Investasi,1.61T,135.36,352.18B,13324,5.91,-,-,-%,
Pollux Properti,1.27T,14.18,214.76B,497275,10.79,-1.67,-,-%,
Polychem Indonesia,606.71B,-1.66,112.00M,1199121,-0.006,-,-,-%,
Pool Advista Finance,167.55B,326.80,29.05B,16446,0.153,-,-,-%,
Pool Advista Indonesia,167.55B,-12.63,20.08B,23697093,-3.96,1.62,-,-%,
PP Presisi Tbk PT,1.02T,11.46,3.59T,6217025,8.81,1.01,0.76,0.64%,
PP Properti Tbk PT,3.08T,-130.89,1.02T,105406,-0.382,0.978,-,-%,
Pradiksi Gunatama,2.72T,111.11,920.82B,11595,27.63,0.055,-,-%,
Prasidha Aneka Niaga,123.84B,-3.94,456.48B,217275,-21.80,0.421,-,-%,
Pratama Widya,825.5B,12.47,330.44B,133795,83.82,-,19.36,2.08%,
Prima Alloy Steel,93.24B,-0.82,57.68B,3030340,-162.09,-0.27,-,-%,
Prima Andalan Mandiri Tbk PT,18.76T,3.46,1.05B,337068,0.085,-0.229,1.000,18.96%,
Prima Cakrawala Abadi,58.33B,8.80,241.82B,67155,5.68,-,-,-%,
Prima Globalindo,78.66B,6.05,241.71B,1038554,16.90,-0.947,8,7.84%,
Primarindo Asia Infrastructure Tbk,57.78B,5.91,118.29B,1007148,16.07,-0.174,-,-%,
Prodia Widyahusada,6.07T,16.83,2.21T,1780230,384.69,0.244,"2,378,539",3.75%,
Provident Agro,3.48T,-2.41,-1.36T,264546,-204.04,0.10,43,6.01%,
PT Buana Artha Anugerah Tbk,566.40B,287.80,4.76B,870088,0.41,0.002,-,-%,
PT Cahayasakti Investindo,73.19B,7.30,69.07B,774108,7.67,0.649,-,-%,
PT Citra Buana Prasida Tbk,174.96B,7.67,58.18B,409548,16.68,-,1,0.78%,
PT Dafam Property,125.39B,-7.21,74.59B,508897,-9.16,0.25,-,-%,
PT Dewi SHRI Farmindo Tbk,100B,18.40,113.01B,17145620,2.83,0.312,-,-%,
PT Era Digital Media Tbk,790.05B,810.71,25.24B,12674643,0.296,-,-,-%,
PT Hatten Bali PT Tbk,1.44T,29.49,235.27B,5960744,11.60,-,1.95,0.37%,
PT Hillcon Tbk,7.49T,23.30,3.70T,9022554,115.20,-,30,1.18%,
PT Ingria Pratama Capitalindo Tbk,604.9B,144.03,28.88B,44209580,0.84,-,-,-%,
PT ITSEC Asia Tbk,1.6T,-,-,59347968,-,-,-,-%,
PT Jasa Berdikari Logistics Tbk,152.64B,14.27,159.88B,128073418,4.34,-,0.85,1.2%,
PT Jaya Bersama,225.87B,5.84,-,31739700,40.67,1.11,-,-%,
PT Kendaraan Terminal,1.25T,6.43,791.20B,2401794,107.36,0.874,62.26,9.02%,
PT Lini Imaji Kreasi Ecosystem Tbk,319.5B,60.98,100.28B,7506013,0.822,-,-,-%,
PT Menthobi Karyatama Raya Tbk,1.44T,34.84,559.53B,3670016,3.62,-,1,0.83%,
PT Mizuho Leasing Indonesia Tbk,511.86B,11.38,207.70B,698313,7.91,0.615,-,-%,
PT MNC Energy Investments Tbk,1.31T,3.31,208.96M,27938954,0.001,-0.149,-,-%,
Pt Multisarana Intan Eduka Tbk,51.1B,0.958,3.71B,110244674,61.61,-,-,-%,
PT Nusantara Sawit Sejahtera Tbk,4.52T,-68.02,1.07T,92744904,-3.32,-,-,-%,
PT Pelayaran Tamarin,337.50B,-,11.63M,13968264,-0.00,-,-,-%,
PT Pertamina Geothermal Energy,61.06T,25.93,408.07M,101956179,0.005,-,"108,728",0.74%,
PT Petrindo Jaya Kreasi Tbk,32.04T,0.233,777.40B,16330878,-,-,-,-%,
PT Primadaya Plastisindo Tbk,760B,26.50,378.04B,6214911,11.47,-,2.69,0.88%,
PT Royaltama Mulia Kontraktorindo,362.5B,10.31,184.88B,27162653,32.79,-,-,-%,
PT Saptausaha Gemilangindah Tbk,401.66B,32.89,34.04B,8093655,1.36,-,-,-%,
PT Sarimelati Kencana,1.26T,-20.08,3.68T,228492,-20.92,0.682,"199,635",3.73%,
PT Solusi Kemasan Digital Tbk,101.48B,95.29,48.28B,11834600,1.53,-,-,-%,
PT Sreeya Sewu,1.77T,-8.64,6.15T,18876,-111.63,0.464,-,-%,
PT Surya Pertiwi,1.55T,7.01,2.54T,459344,82.07,0.226,75,12.93%,
PT Temas Tbk,9.61T,8.74,4.66T,17392229,19.33,-,198.07,12%,
PT Trimegah Bangun Persada Tbk,62.47T,9.88,14.38T,64536680,73.79,-,"22,189",2.24%,
PT Trimuda Nuansa,89.39B,45.79,70.82B,1238975,4.63,0.479,-,-%,
PT VKTR Teknologi Mobilitas,5.51T,105.93,1.15T,168515226,1.18,-,-,-%,
PT Wahana Interfood,139.71B,-52.70,252.21B,175862,-3.78,-0.09,-,-%,
PT Widiant Jaya Krenindo Tbk,105.6B,384.13,10.53B,174535602,2.08,-,-,-%,
PT Wulandari Bangun Laksana Tbk,1.25T,81.97,300.46B,1077534,0.237,-,-,-%,
Pudjiadi & Sons,312.74B,-38.89,180.84B,2800,-10.08,-0.548,-,-%,
Pudjiadi Prestige,199.38B,0.70,464.03B,320289,864.75,0.172,200,32.79%,
Pulau Subur Tbk PT,-,-,-,178337600,-,-,-,-%,
Puradelta Lestari Tbk Pt,8.48T,7.33,1.83T,26533482,24.01,0.925,25,14.29%,
Puri Global Sukses,318B,-79.56,16.48B,1664756,-5.35,0.553,1.8,0.56%,
Puri Sentul Permai Tbk PT,137.5B,44.74,28.89B,2879368,2.77,-,1.22,1.11%,
Putra Mandiri Jembar,2.06T,8.85,11.15T,283238,17.06,0.301,7.3,4.87%,
Putra Rajawali Kencana,315.1B,48.72,167.21B,108968,1.03,0.892,-,-%,
Pyridam Farma,497.62B,1.76,721.93B,18337,429.35,0.588,-,-%,
Radana Bhaskara Finance Tbk,726.21B,20.71,108.67B,97325,5.36,-0.436,-,-%,
Radiant Utama,269.50B,19.80,1.71T,10059455,17.68,-0.039,3.5,1.03%,
Ramayana Lestari,3.35T,10.81,2.80T,4687060,50.43,1.13,50,9.17%,
Ratu Prabu Energi,392.00B,-16.67,138.42B,1750,-3.00,0.00,-,-%,
Red Planet Indonesia Tbk,517.56B,-64.77,58.75B,96433,-0.772,-0.115,-,-%,
Reliance Securities,927.00B,22.45,74.08B,37035,22.94,-0.741,9.43,1.89%,
Repower Asia Ind,331.68B,-108.225.11,7.15B,5888,-0.00,0.847,-,-%,
Resource Alam Indonesia,2.47T,3.38,321.63M,6805692,0.01,0.458,25,4.67%,
Ricky Putra Globalindo,60.96B,-1.20,1.03T,23392414,-79.24,-0.008,-,-%,
Rig Tenders,365.48B,5.85,341.71B,700449,102.63,-,-,-%,
Rimo International Lestari,2.25T,31.25,-,525530480,1.58,0.02,-,-%,
Ristia Bintang,132.81B,-4.63,163.08B,335061,-10.81,0.321,-,-%,
RMK Energy PT Tbk,3.13T,4.40,2.94T,8817514,126.11,0.559,7,0.98%,
Rockfields Prop,476.48B,71.40,105.21B,186,4.66,-0.176,-,-%,
Roda Vivatex,3.84T,13.53,532.91B,2624,1.056.89,0.118,1.005,6.84%,
Rohartindo Nusantara Luas Tbk Pt,131.2B,8.67,114.09B,6602851,7.44,-,-,-%,
Royal Prima,314.18B,-116.40,230.45B,59111198,-0.799,0.165,-,-%,
Royalindo Investa,425.14B,17.45,13.44B,4223102,5.50,0.94,-,-%,
Rukun Raharja,3.93T,14.82,144.49M,7072410,0.004,0.727,15.87,1.69%,
Salim Ivomas Pratama,6.01T,6.79,17.33T,2491371,57.14,1.08,15,3.85%,
Samator Indo Gas Tbk PT,5.27T,45.51,2.68T,298403,37.79,0.085,4.86,0.29%,
Samindo Resources,3.82T,15.75,131.25M,34837,0.007,0.324,47.37,2.74%,
Sampoerna Agro,3.71T,5.13,5.60T,124733,397.53,-,288,13.98%,
Samudera Indonesia,5.70T,1.30,997.45M,15033738,0.017,0.845,34,9.83%,
Sanurhasta Mitra,328.13B,-132.98,11.98B,1798572,-0.376,0.087,-,-%,
Sarana Meditama,6.27T,250.68,1.48T,8713952,1.46,0.802,-,-%,
Sarana Menara Nusantara,47.81T,14.44,11.50T,24782348,66.47,0.463,42.2,4.42%,
Sarana Mitra Luas Tbk PT,1.38T,15.31,305.41B,174257556,9.27,-,-,-%,
Saranacentral Bajatama,266.40B,-3.74,981.06B,16571844,-39.62,0.976,-,-%,
Saraswanti Anugerah,3.95T,9.37,5.01T,279252,83.81,1.58,30,3.9%,
Saraswanti Indoland Dev PT,420.03B,17.31,134.40B,5562989,4.39,0.422,"10,895",1.4%,
Saraswanti Indoland Dev PT Wnt,420.03B,17.31,134.40B,5943389,4.39,0.422,-,-%,
Saraswati Griya Lestari,177.50B,-4.21,-,200,-11.87,-0.332,-,-%,
Saratoga Investama,22.57T,-2.07,-11.13T,16501706,-807.14,-0.04,75,4.53%,
Sari Kreasi Boga PT Tbk,168.92B,1.89,554.73B,43212103,24.01,-0.258,-,-%,
Sariguna Primatirta,7.71T,35.28,1.46T,3714940,18.28,-0.141,1.65,0.26%,
Sat Nusapersada,1.18T,4.72,130.32M,1494067,0.003,0.138,"55,322",2.51%,
Satria Antaran Prima,666.67B,-102.43,589.14B,3946,-7.81,0.573,-,-%,
Satria Mega Kencana,175.00B,-9.70,21.42B,9212,-18.04,-,-,-%,
Satyamitra Kemas Lestari,779.32B,38.60,1.99T,7150075,6.32,0.102,12,5.26%,
Sawit Sumbermas Sarana,11.72T,11.06,6.77T,9003668,111.23,0.11,74.64,6.19%,
Segar Kumala Indonesia Tbk PT,1.58T,69.62,1.66T,509571,28.39,-,14,0.89%,
Sejahtera Bintang,237.65B,-2.94,60.60B,3130,-17.03,0.778,-,-%,
Sejahteraraya,7.80T,-125.24,2.16T,4202513,-5.19,0.088,0.74,-%,
Sekar Bumi,574.39B,12.00,3.43T,58562,27.66,-0.964,9.97,3%,
Sekar Laut,2.98T,37.19,1.72T,33355,128.80,-0.014,27,0.53%,
Selamat Sempurna,14.11T,15.67,5.07T,6617300,156.32,0.399,125,5.46%,
Selaras Citra,550B,-25.18,495.55B,70418,-8.98,0.428,-,-%,
Semacom Integrated Tbk PT,134.73B,8.32,150.70B,16327916,8.93,0.123,1.95,2.32%,
Semen Baturaja Persero,3.46T,36.33,1.90T,2554411,9.58,2.39,"19,094",0.55%,
Semen Indonesia Persero,45.07T,17.76,36.71T,9716960,375.88,0.837,245.19,3.73%,
Sentra Food,58.50B,-4.16,80.94B,326308,-21.66,0.179,-,-%,
Sentral Mitra Informatika,60.84B,54.49,119.56B,2541419,1.56,0.032,-,-%,
Sentul City,8.39T,-15.58,535.61B,74063146,-3.21,0.457,-,-%,
Sepatu Bata,260.00B,-2.10,658.90B,40585,-95.33,0.064,-,-%,
Sepeda Bersama Indonesia Tbk PT,532.87B,40.79,367.94B,5247065,9.12,0.167,8.2,1.99%,
Shield On Service,381.63B,10.49,1.64T,523460,54.79,-0.222,-,-%,
Siantar Top,13.07T,16.95,5.03T,4846,588.58,-,-,-%,
Sidomulyo Selaras,56.76B,15.63,88.80B,61508,3.20,0.044,-,-%,
Sigma Energy Compressindo Tbk PT,108.29B,8.09,92.21B,5337413,15.33,0.214,"40,011",3.36%,
Sillo Maritime Perdana,3.28T,9.60,155.27M,125492,0.008,0.405,17.5,1.45%,
Siloam International,28.42T,28.72,10.39T,5939651,76.25,0.229,19.67,0.87%,
Sinar Eka Selaras PT,1.59T,8.01,3.04T,31285114,44.44,-,-,-%,
Sinar Mas Agro Resources and Technology Tbk PT,12.35T,3.20,71.56T,32549,1.343.81,0.855,570,13.19%,
Sinar Mas Multiartha,85.96T,78.02,27.40T,8544,173.03,0.092,-,-%,
Sinergi Inti,55.5B,-78.24,60.63B,976177,-0.652,0.223,-,-%,
Sinergi Inti Andalan Prima Tbk PT,2.13T,760.87,-,377646899,-,-,-,-%,
Sinergi Megah Internusa,385.00B,-,-,0,-1.52,1.61,-,-%,
Singaraja Putra,288.6B,1.355.77,348.52B,502421,1.27,1.84,-,-%,
Siwani Makmur,22.13B,-,-,5723508,-36.02,1.72,-,-%,
Sky Energy,105.69B,-1.45,-,4362600,-35.80,0.533,-,-%,
Slj Global,648.23B,3.38,39.39M,18294314,0.003,-0.38,-,-%,
Smartfren Telecom,18.78T,40.29,11.31T,330390731,1.39,1.60,-,-%,
Smr Utama,624.97B,-151.52,362.10B,600785,-0.33,-,-,-%,
Soechi Lines,1.60T,14.40,164.89M,22879203,0.001,1.19,-,-%,
Soho Global,6.95T,19.31,7.75T,874,249.69,-0.36,236,4.31%,
Solusi Bangun Indonesia,14.34T,17.23,12.25T,808829,92.28,-,"279,158",1.77%,
Solusi Sinergi Digital Tbk PT,401.45B,8.92,470.44B,205388773,19.84,0.256,-,-%,
Solusi Sinergi Digital Tbk PT Wnt,-,-,-,10662235,-,-,-,-%,
Solusi Tunas Pratama,38.68T,42.61,1.88T,100,797.98,-0.50,-,-%,
Sona Topas Tourism,900.86B,-98.73,553.32B,4427,-27.55,-0.085,-,-%,
Sri Rejeki Isman,2.99T,-0.47,342.57M,65711100,-0.02,0.555,-,-%,
Sriwahana,150.96B,-2.19,292.92B,14202,-22.88,0.303,-,-%,
Star Pacific,271.54B,1.80,24.46B,277986,128.63,-0.155,-,-%,
Steadfast Marine,53.45B,-,-,2500,-14.24,-0.307,-,-%,
Steady Safe TBK PT,91.66B,5.81,261.82B,530819,25.66,-0.068,-,-%,
Steel Pipe Ind,2.08T,6.53,6.18T,6191343,45.05,1.11,6,2.05%,
Sugih Energy,1.24T,-,-,131514,-11.55,0.00,-,-%,
Sumber Alfaria Trijaya,120.01T,37.33,102.87T,17554427,77.41,0.02,24.06,0.83%,
Sumber Energi Andalan,417.60B,8.88,213.28K,147229,0.003,0.452,-,-%,
Sumber Global,9.37T,9.92,12.93T,21680281,194.37,-0.29,"650,773",2.85%,
Sumber Mas Konstruksi Tbk PT,135.32B,10.70,149.68B,12848198,7.63,-,1,0.93%,
Sumber Sinergi Makmur PT Tbk,543.84B,-,-,293603899,-,-,-,-%,
Sumber Tani Agung Resources Tbk PT,9.54T,13.18,5.40T,10287671,64.28,-0.136,46,5.26%,
Sumi Indo Kabel,511.63B,5.33,236.27M,789768,0.005,0.312,15.78,3.83%,
Summarecon Agung,9.74T,12.11,5.95T,34881608,48.74,1.41,7,1.22%,
Sunindo Adipersada,71.75B,-28.85,124.84B,2421274,-1.77,0.908,-,-%,
Sunindo Pratama PT Tbk,955B,14.08,558.43B,2585063,36.22,-,3,0.79%,
Sunson Textile,626.44B,-66.21,233.37B,100,-8.08,0.037,-,-%,
Sunter Lakeside Hotel Tbk PT,267.75B,-90.18,40.91B,2276621,-11.58,0.496,-,-%,
Suparma,1.36T,4.01,2.90T,661657,107.78,0.641,-,-%,
Super Energy,1.95T,-21.06,331.15B,336,-61.98,-0.113,-,-%,
Superkrane Mitra Utama,4.06T,25.40,800.24B,9094881,24.02,0.224,14,2.37%,
Supra Boga Lestari,946.51B,-12.59,2.86T,19521,-48.07,-,-,-%,
Supreme Cable,1.82T,13.86,5.33T,17418,638.36,-,150,1.69%,
Surya Biru Murni Acetylene Tbk PT,151.58B,127.23,110.51B,1230683,1.36,-0.625,1.5,0.92%,
Surya Citra Media,10.05T,33.62,7.00T,81031571,4.73,1.26,6.5,4.09%,
Surya Esa Perkasa,12.83T,11.87,548.73M,42719875,0.004,0.673,45,5.96%,
Surya Fajar Capital,2.77T,-1.657.56,33.54B,797441,-1.22,0.42,-,-%,
Surya Permata Andalan Tbk PT,3.9T,-1.76K,7.74B,268809737,-0.278,-0.447,-,-%,
Surya Semesta,1.89T,41.98,3.90T,16772416,9.91,0.629,-,-%,
Surya Toto Indonesia,2.46T,8.66,2.03T,1409297,27.47,0.381,20,8.33%,
Suryamas Dutamakmur,858.98B,7.78,456.05B,3856297,23.15,-0.386,-,-%,
Tanah Laut,60.87B,-5.64,3.83B,1915152,-24.64,-,-,-%,
TBS Energi Utama Tbk PT,2.53T,5.00,634.46M,22906349,0.004,0.234,"127,621",4.09%,
Techno9 Indonesia PT Tbk,25.88B,-138.08,23.70B,2996321,-0.087,-,-,-%,
Teknologi Karya Digital Nusa PT Tbk,660.8B,25.68,192.47B,21630056,18.03,-,-,-%,
Teladan Prima Agro PT Tbk,5.98T,45.22,3.76T,58903,10.17,0.051,13.52,2.93%,
Telefast Indonesia ,3.06T,33.166.67,731.45B,359211,0.174,-,-,-%,
Telkom Indonesia,376.44T,18.64,148.80T,93630611,203.90,0.175,"1,675,987",4.4%,
Tembaga Mulia Semanan,778.76B,12.28,704.47M,21574,0.011,0.289,59.78,2.46%,
Tempo Inti Media,96.31B,-84.26,207.57B,110475,-1.08,0.466,-,-%,
Tempo Scan Pacific,7.94T,6.03,12.80T,2746973,291.96,0.598,125,7.04%,
Tera Data Indonusa Tbk PT,858.5B,7.21,1.66T,6482565,19.81,0.113,6,4.08%,
Terregra Asia,137.50B,25.64,14.73B,33381,1.95,0.693,-,-%,
Tifa Finance,1.67T,28.96,128.80B,9660,16.23,0.688,-,-%,
Tifico Fiber Indonesia,3.28T,193.61,202.97M,350,0.00,0.283,-,-%,
Tigaraksa Satria,6.29T,12.93,13.69T,1000,529.96,-0.035,325,4.83%,
Timah Persero,5.88T,-242.33,9.59T,10260735,-3.26,1.59,"419,516",5.24%,
Tira Austenite,256.37B,125.65,282.31B,9982,3.47,-0.02,-,-%,
Tirta Mahakam,50.59B,-1.15,97.16M,2191,-43.47,-0.062,-,-%,
Toba Pulp Lestari,1.31T,-2.08,136.11M,19331,-0.029,0.339,-,-%,
Toba Surimi Industries Tbk Pt,468B,51.03,530.09B,4010308,4.59,0.058,1,0.42%,
Total Bangun Persada,1.27T,11.03,2.38T,4370983,33.73,0.661,100,27.17%,
Totalindo Eka Persada,1.67T,-11.90,560.29B,2214,-4.20,0.058,-,-%,
Tourindo Guide,61.22B,-7.13,1.82B,1217566,-11.22,0.09,-,-%,
Tower Bersama,44.36T,29.48,6.50T,9112311,66.49,0.701,"353,455",1.81%,
Trada Maritime,459.15B,0.53,427.48M,379906131,0.006,-0.585,31,1.13%,
Trans Power Marine,1.92T,6.65,66.47M,13279006,0.007,0.949,60,8.96%,
Transcoal Pacific,42.13T,384.35,1.70T,10739862,21.92,0.246,7,0.08%,
Transkon Jaya,401.71B,12.27,543.04B,8119151,24.29,0.167,3,1.12%,
Tri Banyan Tirta,109.59B,-4.97,354.59B,28390,-10.07,-0.077,-,-%,
Trias Sentosa,1.50T,-45.84,3.18T,18594,-11.67,-,5,0.93%,
Tridomain Performance,1.25T,-1.52,63.48M,0,-0.005,0.293,-,-%,
Trikomsel Oke,11.08T,26.23,648.36B,500,16.24,-0.693,-,-%,
Trimegah Karya Pratama Tbk PT,342.02B,35.18,1.03T,6674106,8.30,3.10,0.594,0.35%,
Trimegah Securities,1.71T,8.57,665.73B,5224846,28.00,-0.256,-,-%,
Trimitra Prawara,77.5B,32.78,43.15B,2367316,1.80,0.086,0.12,0.19%,
Trimitra Propertindo,139.63B,-25.25,54.44B,6397,-1.98,0.267,-,-%,
Trinitan,68B,-,-,5914300,-65.97,1.56,-,-%,
Triniti Dinamik PT Tbk,378.54B,-12.92,128.27B,153192,-3.87,-0.412,-,-%,
Tripar Multivision Plus Tbk PT,3.62T,44.79,326.77B,17784581,13.95,-,-,-%,
Triputra Agro Persada Tbk PT,10.82T,6.88,8.50T,11020192,84.17,0.259,38,6.97%,
Trisula International,678.60B,15.92,1.52T,5317478,13.69,0.026,6.5,2.98%,
Trisula Textile,601.50B,115.76,495.90B,10054570,0.717,-0.79,0.5002,0.6%,
Triwira Insanlestari,60.00B,-,-,261195,-2.75,-,-,-%,
Trust Finance Ind,340.80B,13.07,52.88B,23846,32.60,-0.146,-,-%,
Tunas Alfin,460.17B,12.15,1.29T,3863773,27.99,0.088,5,1.47%,
Tunas Baru Lampung,5.04T,6.33,16.59T,3958437,133.51,0.987,-,-%,
Ulima Nitra PT,439.46B,6.01,503.89B,36796141,16.48,1.01,3.65,2.61%,
Ultra Jaya Milk,17.62T,18.29,8.11T,4365252,92.66,-0.097,30,1.76%,
Unggul Indah Cahaya,3.18T,11.25,354.66M,2644,0.047,0.616,460,5.56%,
Uni Charm,4.95T,13.92,10.64T,250406,92.39,0.513,"151,399",1.27%,
Unilever Indonesia,138.10T,29.42,40.05T,13284208,123.04,0.169,140,3.81%,
United Tractors,95.43T,4.39,131.84T,4671994,5.991.58,0.314,7.003,26.06%,
Urban Jakarta Propertindo,380.59B,-12.49,41.56B,194275,-9.77,-0.287,-,-%,
Utama Radar Cahaya Tbk PT,93B,19.60,71.29B,2524967,5.25,0.531,-,-%,
Vale Indonesia,55.64T,16.22,1.27B,8464233,0.022,1.11,89.61,1.59%,
Vastland Indonesia PT Tbk,207.79B,13.13,24.96B,3973322,4.49,-,-,-%,
Venteny Fortuna International PT,1.9T,183.34,102.60B,20584260,1.56,-,-,-%,
Victoria Care,4.29T,26.96,1.25T,309471,23.74,-0.125,5.5,0.86%,
Victoria Insurance Tbk PT,216.16B,20.64,55.51B,895248,7.17,0.234,4.7,3.24%,
Victoria Investama,2.12T,12.79,1.05T,3157576,10.87,-0.388,-,-%,
Visi Media Asia,823.21B,-0.53,1.40T,2744,-95.19,0.277,-,-%,
Visi Telekomunikasi,408.73B,25.50,47.67B,53898,12.55,0.517,-,-%,
Voksel Electric,826.96B,-22.44,2.84T,1491249,-8.87,0.141,-,-%,
Wahana Inti MakmurTbk PT,69.44B,94.49,66.76B,16465161,0.942,0.451,-,-%,
Wahana Ottomitra,1.23T,5.99,1.13T,1132862,59.07,0.744,17,4.83%,
Wahana Pronatural,136.50B,-55.28,287.57B,2662476,-1.99,-0.597,-,-%,
Waskita Beton Precast,1.23T,-1.21,1.96T,649035,-41.43,-,-,-%,
Waskita Karya,5.82T,-4.03,15.286.46B,27294530,-50.13,1.55,-,-%,
Weha Transportasi,243.91B,8.35,230.05B,7095260,20.01,0.242,-,-%,
Wicaksana Overseas,737.26B,-3.48,1.47T,23350,-88.63,-0.338,-,-%,
Widodo Makmur Perkasa PT,1.47T,-3.09,2.81T,151606,-16.16,0.403,-,-%,
Widodo Makmur Unggas Tbk PT,647.06B,-5.23,1.38T,273806,-9.56,-0.207,1.62,3.24%,
Wijaya Cahaya Timber PT,105B,1.76,782.52B,7570621,-19.90,-,2,3.57%,
Wijaya Karya,4.07T,-2.12,23.55T,18634576,-214.42,1.41,-,-%,
Wijaya Karya Bangunan Gedung,966.77B,5.28,2.81T,15967125,19.13,-,2.42,2.44%,
Wijaya Karya Beton,1.27T,10.99,5.97T,4500973,13.28,1.19,3.75,2.57%,
Wilmar Cahaya Ind,1.11T,9.88,5.53T,53467,188.31,0.482,100,5.33%,
Wilton Makmur Indonesia,792.42B,-30.72,4.71B,5657987,-1.66,0.63,-,-%,
Winner Nusantara Jaya Tbk PT,261.76B,45.63,30.26B,22574,1.10,-0.206,-,-%,
Wintermar,2.42T,35.37,67.12M,18889313,0.001,0.181,-,-%,
Wir Asia Tbk PT,1.54T,203.13,2.29T,78577088,3.13,1.06,-,-%,
Wira Global Solusi Tbk PT,135.53B,41.79,26.63B,4650725,3.23,0.732,4,3.08%,
Wismilak Inti Makmur,6.11T,14.89,2.22T,7388356,198.17,1.65,72.9,2.5%,
Woori Finance Indonesia Tbk PT,1.08T,16.01,233.71B,47287,25.23,0.263,3.88,0.96%,
XL Axiata,31.11T,24.79,30.83T,21501789,96.02,0.476,42,1.77%,
Yanaprima Hastapersada,331.33B,42.50,374.83B,4834,11.67,-0.203,-,-%,
Yelooo Integra,95.64B,160.26,1.50T,18635882,0.312,-0.043,-,-%,
Yulie Sekurindo,3.22T,136.48,48.97B,1519,15.24,0.636,-,-%,
Zyrexindo Mandiri Buana PT Tbk,280B,4.07,816.72B,875103,55.92,0.182,8.85,4.21%,
